id,title,year,venue,doi,ta_decision,ta_reason,ft_decision,ft_reason,round,reviewer
36,Intrusion Detection using Machine Learning,2022.0,International Journal of Science and Research (IJSR),10.21275/mr22310165547,,,,,crossref,
37,Evaluation of Machine Learning Method for Intrusion Detection System on Jubatus,2015.0,International Journal of Machine Learning and Computing,10.7763/ijmlc.2015.v5.497,,,,,crossref,
38,Advanced machine learning methods for network intrusion detection,,,10.12681/eadd/45893,,,,,crossref,
39,Anomaly-based network intrusion detection using machine learning,,,10.70675/7f7fbc77zaab9z4f60z9b41z7236bc47d138,,,,,crossref,
40,Applications of Machine Learning in Intrusion Detection,2014.0,The State of the Art in Intrusion Prevention and Detection,10.1201/b16390-18,,,,,crossref,
41,Intrusion Detection System,2011.0,Series in Electrical and Computer Engineering,10.1142/9781848164482_0004,,,,,crossref,
42,Intrusion Detection using Machine Learning Techniques,2021.0,International Journal of Science and Research (IJSR),10.21275/sr211211230813,,,,,crossref,
43,Network intrusion detection using machine learning,2021.0,,10.32920/ryerson.14645952.v1,,,,,crossref,
44,Network intrusion detection using machine learning,2021.0,,10.32920/ryerson.14645952,,,,,crossref,
45,IB10-Intrusion detection system in gas-pipeline industry using machine learning,,,10.21533/pen.v7i3.512.s89,,,,,crossref,
46,Identifying Mislabeling in Machine Learning Based Intrusion Detection System,,,10.30707/etd2021.20220215070317590203.999987,,,,,crossref,
47,On Machine Learning-based Network Traffic Intrusion Detection,,,10.70675/f159dcd7ze4fbz4658za8daz64abb42200b1,,,,,crossref,
48,Machine learning for intrusion detection systems in autonomous transportation,,,10.70675/ada2e34fz70fcz4e8fza0d4za03701b6a256,,,,,crossref,
49,Flow-Based Intrusion Detection Using Ensemble Machine Learning,2025.0,,10.58445/rars.3367,,,,,crossref,
50,Towards practical machine learning based network intrusion detection,,,10.14264/713e796,,,,,crossref,
51,Techniques for Intrusion Detection,2011.0,Series in Electrical and Computer Engineering,10.1142/9781848164482_0005,,,,,crossref,
52,Network Intrusion Detection Data,2020.0,Designing a Machine Learning Intrusion Detection System,10.1007/978-1-4842-6591-8_4,,,,,crossref,
53,Intrusion detection and prevention for IoT systems using Machine Learning,,,10.70675/5d630624zd682z4948z8b07z5bec20c80385,,,,,crossref,
54,Machine Learning-Based Network Intrusion Detection System (NIDS),2026.0,,10.36227/techrxiv.176834492.21643927/v1,,,,,crossref,
55,Intrusion Detection for Wired Network,2011.0,Series in Electrical and Computer Engineering,10.1142/9781848164482_others01,,,,,crossref,
56,AI-Driven Intrusion Detection Systems (IDS): Enhancing Threat Detection Using Machine Learning and Deep Learning,2026.0,,10.2139/ssrn.6747238,,,,,crossref,
57,Intrusion detection by machine learning = Behatolás detektálás gépi tanulás által,,,10.14267/phd.2020026,,,,,crossref,
58,Intrusion Detection for Wireless Sensor Network,2011.0,Series in Electrical and Computer Engineering,10.1142/9781848164482_others02,,,,,crossref,
59,Network Intrusion Detection system with Machine learning Intrusion Detection System with Machine Learning As a Service,2024.0,Journal of Information Systems Applied Research,10.62273/ewql5023,,,,,crossref,
60,Intrusion Detection System Using Machine Learning Approach,2016.0,International Journal Of Engineering And Computer Science,10.18535/ijecs/v5i10.05,,,,,crossref,
61,A Hybrid Deep Learning Anomaly Detection Framework for Intrusion Detection,2022.0,arXiv,10.48550/arXiv.2212.00966,,,,,arxiv,
62,Tree-based Intelligent Intrusion Detection System in Internet of Vehicles,2019.0,arXiv,10.48550/arXiv.1910.08635,,,,,arxiv,
63,Cyber Situation Awareness with Active Learning for Intrusion Detection,2019.0,arXiv,10.48550/arXiv.1912.12673,,,,,arxiv,
64,A Benchmark Study of Machine Learning Models for Online Fake News Detection,2019.0,arXiv,10.48550/arXiv.1905.04749,,,,,arxiv,
65,Performance Comparison of Intrusion Detection Systems and Application of Machine Learning to Snort System,2017.0,arXiv,10.48550/arXiv.1710.04843,,,,,arxiv,
66,Online Feature Ranking for Intrusion Detection Systems,2018.0,arXiv,10.48550/arXiv.1803.00530,,,,,arxiv,
67,LCCDE: A Decision-Based Ensemble Framework for Intrusion Detection in The Internet of Vehicles,2022.0,arXiv,10.48550/arXiv.2208.03399,,,,,arxiv,
68,Securing Fog-to-Things Environment Using Intrusion Detection System Based On Ensemble Learning,2019.0,arXiv,10.48550/arXiv.1901.10933,,,,,arxiv,
69,Online Self-Supervised Deep Learning for Intrusion Detection Systems,2023.0,arXiv,10.48550/arXiv.2306.13030,,,,,arxiv,
70,Intrusion Detection in Internet of Things using Convolutional Neural Networks,2022.0,arXiv,10.48550/arXiv.2211.10062,,,,,arxiv,
71,A review of Federated Learning in Intrusion Detection Systems for IoT,2022.0,arXiv,10.48550/arXiv.2204.12443,,,,,arxiv,
72,Toward Autonomous and Efficient Cybersecurity: A Multi-Objective AutoML-based Intrusion Detection System,2025.0,arXiv,10.48550/arXiv.2511.08491,,,,,arxiv,
73,Challenges in Vessel Behavior and Anomaly Detection: From Classical Machine Learning to Deep Learning,2020.0,arXiv,10.48550/arXiv.2004.03722,,,,,arxiv,
